datetime,SPY,cash,commission,total,returns,equity_curve,drawdown
2012-10-08,11720.406341552734,91929.4547637932,334.1000000000016,103649.86110534593,-0.0003880914431011462,1.036498611053458,0.0006584854125977202
2012-10-09,11604.524230957031,91929.4547637932,334.1000000000016,103533.97899475023,-0.001118015107400172,1.035339789947501,0.0018173065185547177
2012-10-10,11530.491638183594,91929.4547637932,334.1000000000016,103459.94640197679,-0.000715055998931402,1.0345994640197667,0.0025576324462890376
2012-10-11,11536.930847167969,91929.4547637932,334.1000000000016,103466.38561096117,6.223866538035416e-05,1.0346638561096104,0.00249324035644527
2012-10-12,11499.102020263672,91929.4547637932,334.1000000000016,103428.55678405687,-0.0003656146552420969,1.0342855678405674,0.00287152862548834
2012-10-15,11594.872283935547,91929.4547637932,334.1000000000016,103524.32704772874,0.0009259557190943735,1.035243270477286,0.0019138259887696574
2012-10-16,11712.364959716797,91929.4547637932,334.1000000000016,103641.81972351,0.0011349281770949293,1.0364181972350985,0.0007388992309571574
2012-10-17,11765.480041503906,91929.4547637932,334.1000000000016,103694.9348052971,0.0005124869664465681,1.0369493480529697,0.00020774841308601744
2012-10-18,11734.896850585938,91929.4547637932,334.1000000000016,103664.35161437913,-0.0002949342798217458,1.0366435161437901,0.000513580322265561
2012-10-19,11539.338684082031,91929.4547637932,334.1000000000016,103468.79344787523,-0.0018864553094526393,1.034687934478751,0.0024691619873047355
2012-10-22,11540.946960449219,91929.4547637932,334.1000000000016,103470.40172424242,1.554358868594008e-05,1.034704017242423,0.0024530792236328036
2012-10-23,11380.80062866211,91929.4547637932,334.1000000000016,103310.2553924553,-0.001547750169308415,1.0331025539245517,0.004054542541503947
2012-10-24,11348.614501953125,91929.4547637932,334.1000000000016,103278.06926574632,-0.00031154822516621383,1.0327806926574619,0.004376403808593832
2012-10-25,11381.611633300781,91929.4547637932,334.1000000000016,103311.06639709398,0.00031949794939278853,1.0331106639709384,0.004046432495117269
2012-10-26,11375.172424316406,91929.4547637932,334.1000000000016,103304.6271881096,-6.232835657338232e-05,1.0330462718810947,0.004110824584961037
2012-10-31,11375.172424316406,91929.4547637932,334.1000000000016,103304.6271881096,0.0,1.0330462718810947,0.004110824584961037
2012-11-01,11494.271087646484,91929.4547637932,334.1000000000016,103423.72585143968,0.0011528879835480677,1.0342372585143955,0.002919837951660176
2012-11-02,11392.076873779297,91929.4547637932,334.1000000000016,103321.5316375725,-0.0009881118962391522,1.0332153163757236,0.003941780090332081
2012-11-05,11415.406799316406,91929.4547637932,334.1000000000016,103344.8615631096,0.00022579926146426565,1.033448615631095,0.003708480834960781
2012-11-06,11504.737854003906,91929.4547637932,334.1000000000016,103434.1926177971,0.0008643976423825528,1.03434192617797,0.0028151702880856444
2012-11-07,11243.997192382812,91929.4547637932,334.1000000000016,103173.45195617601,-0.0025208362440123366,1.031734519561759,0.005422576904296594
2012-11-08,0.0,103172.151956176,335.4000000000016,103172.151956176,-1.2600140591900733e-05,1.031721519561759,0.005435576904296635
2012-11-09,11118.45474243164,92062.05373840257,336.70000000000164,103180.5084808342,8.09959325240861e-05,1.031805084808341,0.005352011657714595
2012-11-12,11127.30941772461,92062.05373840257,336.70000000000164,103189.36315612718,8.58173256106376e-05,1.0318936315612708,0.005263464904784909
2012-11-13,11088.674926757812,92062.05373840257,336.70000000000164,103150.72866516038,-0.00037440381241948817,1.0315072866516029,0.005649809814452844
2012-11-14,10938.995361328125,92062.05373840257,336.70000000000164,103001.04909973069,-0.001451076181105515,1.030010490997306,0.007146605468749678
2012-11-15,10920.488739013672,92062.05373840257,336.70000000000164,102982.54247741624,-0.00017967411474162365,1.0298254247741614,0.007331671691894304
2012-11-16,10974.403381347656,92062.05373840257,336.70000000000164,103036.45711975022,0.0005235318631389152,1.0303645711975011,0.006792525268554561
2012-11-19,11196.51870727539,92062.05373840257,336.70000000000164,103258.57244567796,0.002155696460618639,1.0325857244567784,0.004571372009277264
2012-11-20,0.0,103257.27244567795,338.00000000000165,103257.27244567795,-1.2589753753289301e-05,1.0325727244567784,0.004584372009277304
2012-11-21,11222.26791381836,92054.62433166428,339.30000000000166,103276.89224548264,0.0001900088908024511,1.0327689224548253,0.004388174011230372
2012-11-23,11375.172424316406,92054.62433166428,339.30000000000166,103429.79675598069,0.0014805297407149975,1.0342979675598059,0.0028591289062498415
2012-11-26,11351.024627685547,92054.62433166428,339.30000000000166,103405.64895934983,-0.00023347040590082635,1.0340564895934972,0.003100606872558531
2012-11-27,11293.086242675781,92054.62433166428,339.30000000000166,103347.71057434006,-0.000560301933142382,1.0334771057433996,0.0036799907226561235
2012-11-28,11384.021759033203,92054.62433166428,339.30000000000166,103438.64609069748,0.0008798987016940263,1.0343864609069737,0.0027706355590819687
2012-11-29,11437.134552001953,92054.62433166428,339.30000000000166,103491.75888366623,0.0005134714632883952,1.0349175888366613,0.0022395076293943994
2012-11-30,11439.547729492188,92054.62433166428,339.30000000000166,103494.17206115647,2.331758118967464e-05,1.0349417206115636,0.002215375854492052
2012-12-03,11383.214569091797,92054.62433166428,339.30000000000166,103437.83890075608,-0.0005443123924611104,1.0343783890075597,0.002778707458495955
2012-12-04,11367.124938964844,92054.62433166428,339.30000000000166,103421.74927062912,-0.00015554878464152377,1.0342174927062902,0.002939603759765541
2012-12-05,11387.24136352539,92054.62433166428,339.30000000000166,103441.86569518967,0.0001945086473824631,1.0344186569518958,0.0027384395141598628
2012-12-06,11425.869750976562,92054.62433166428,339.30000000000166,103480.49408264084,0.00037343088498609234,1.0348049408264075,0.00235215563964819
2012-12-07,11460.472106933594,92054.62433166428,339.30000000000166,103515.09643859787,0.00033438529902451997,1.0351509643859778,0.002006132080077938
2012-12-10,11465.299224853516,92054.62433166428,339.30000000000166,103519.9235565178,4.663201876820011e-05,1.035199235565177,0.001957860900878794
2012-12-11,11543.363189697266,92054.62433166428,339.30000000000166,103597.98752136155,0.0007540960441410061,1.0359798752136145,0.0011772212524412407
2012-12-12,11548.994445800781,92054.62433166428,339.30000000000166,103603.61877746506,5.4356809801481276e-05,1.0360361877746496,0.0011209086914061306
2012-12-13,11478.182983398438,92054.62433166428,339.30000000000166,103532.80731506272,-0.0006834844500407389,1.035328073150626,0.0018290233154296676
2012-12-14,11435.527038574219,92054.62433166428,339.30000000000166,103490.1513702385,-0.0004120041359876314,1.0349015137023838,0.0022555827636718817
2012-12-17,11569.924926757812,92054.62433166428,339.30000000000166,103624.54925842209,0.0012986538951207383,1.0362454925842197,0.0009116038818359762
2012-12-18,11698.680114746094,92054.62433166428,339.30000000000166,103753.30444641037,0.0012425162657854205,1.0375330444641024,0.0
2012-12-19,11611.766052246094,92054.62433166428,339.30000000000166,103666.39038391037,-0.0008376992228222857,1.0366639038391023,0.0008691406250000977
2012-12-20,11678.564453125,92054.62433166428,339.30000000000166,103733.18878478928,0.0006443592820346566,1.0373318878478914,0.00020115661621100678
2012-12-21,11572.555541992188,92054.62433166428,339.30000000000166,103627.17987365647,-0.0010219382280124423,1.0362717987365633,0.001261245727539162
2012-12-24,11536.894989013672,92054.62433166428,339.30000000000166,103591.51932067795,-0.0003441235496516315,1.0359151932067783,0.0016178512573241655
2012-12-26,11488.267517089844,92054.62433166428,339.30000000000166,103542.89184875412,-0.00046941556840474075,1.03542891848754,0.0021041259765623987
2012-12-27,11472.869110107422,92054.62433166428,339.30000000000166,103527.4934417717,-0.00014871524937620784,1.035274934417716,0.002258110046386541
2012-12-28,11348.866271972656,92054.62433166428,339.30000000000166,103403.49060363694,-0.00119777688044298,1.0340349060363683,0.0034981384277341654
2012-12-31,11541.75796508789,92054.62433166428,339.30000000000166,103596.38229675217,0.0018654272886649004,1.0359638229675205,0.0015692214965818962
2013-01-02,11837.574768066406,92054.62433166428,339.30000000000166,103892.19909973069,0.0028554742590445326,1.0389219909973058,0.0
2013-01-03,11810.82992553711,92054.62433166428,339.30000000000166,103865.45425720139,-0.0002574287844616663,1.0386545425720128,0.00026744842529291546
2013-01-04,11862.702941894531,92054.62433166428,339.30000000000166,103917.32727355881,0.0004994251142345085,1.0391732727355871,0.0
2013-01-07,11830.27572631836,92054.62433166428,339.30000000000166,103884.90005798264,-0.00031204820627084295,1.0388490005798254,0.00032427215576169566
2013-01-08,11796.240997314453,92054.62433166428,339.30000000000166,103850.86532897873,-0.00032761959615801306,1.0385086532897863,0.0006646194458008736
2013-01-09,11826.23062133789,92054.62433166428,339.30000000000166,103880.85495300217,0.00028877587036402197,1.0388085495300206,0.000364723205566575
2013-01-10,11920.245361328125,92054.62433166428,339.30000000000166,103974.8696929924,0.0009050247038568937,1.039748696929923,0.0
2013-01-11,11919.43130493164,92054.62433166428,339.30000000000166,103974.05563659592,-7.829357217659094e-06,1.039740556365958,8.140563964920133e-06
2013-01-14,11911.324310302734,92054.62433166428,339.30000000000166,103965.94864196701,-7.797132255027428e-05,1.039659486419669,8.921051025390092e-05
2013-01-15,11919.43130493164,92054.62433166428,339.30000000000166,103974.05563659592,7.797740255144348e-05,1.039740556365958,8.140563964920133e-06
2013-01-16,11917.810821533203,92054.62433166428,339.30000000000166,103972.43515319748,-1.558545916591214e-05,1.0397243515319736,2.4345397949376846e-05
2013-01-17,11994.810485839844,92054.62433166428,339.30000000000166,104049.43481750412,0.0007405776751614468,1.04049434817504,0.0
2013-01-18,12021.548461914062,92054.62433166428,339.30000000000166,104076.17279357834,0.0002569737752167178,1.0407617279357821,0.0
2013-01-22,12086.386108398438,92054.62433166428,339.30000000000166,104141.01044006272,0.0006229826169048547,1.041410104400626,0.0
2013-01-23,12105.836486816406,92054.62433166428,339.30000000000166,104160.46081848069,0.00018676963413133407,1.0416046081848056,0.0
2013-01-24,12109.08432006836,92054.62433166428,339.30000000000166,104163.70865173264,3.118105686583661e-05,1.0416370865173252,0.0
2013-01-25,12177.15835571289,92054.62433166428,339.30000000000166,104231.78268737717,0.0006535293004219511,1.0423178268737705,0.0
2013-01-28,12162.57095336914,92054.62433166428,339.30000000000166,104217.19528503342,-0.00013995157683810433,1.042171952850333,0.00014587402343746447
2013-01-29,12210.384368896484,92054.62433166428,339.30000000000166,104265.00870056076,0.0004587862434464185,1.0426500870056064,0.0
2013-01-30,12162.57095336914,92054.62433166428,339.30000000000166,104217.19528503342,-0.00045857585515252097,1.0421719528503328,0.0004781341552735352
2013-01-31,12132.581329345703,92054.62433166428,339.30000000000166,104187.20566100998,-0.00028776080512837865,1.0418720566100983,0.0007780303955080559
2013-02-01,12257.393646240234,92054.62433166428,339.30000000000166,104312.01797790451,0.001197962034807043,1.0431201797790435,0.0
2013-02-04,12119.615936279297,92054.62433166428,339.30000000000166,104174.24026794358,-0.0013208229754516632,1.041742402679434,0.0013777770996095118
2013-02-05,12241.99447631836,92054.62433166428,339.30000000000166,104296.61880798264,0.0011747485724329376,1.0429661880798244,0.000153991699219036
